username,pagerank,eigen,load,betw,followers
1ngram4,0.00804080266786645,0.09723429781325188,0.0059914403642727975,0.006309826024192651,2057006
22wiggins,0.00519361111508986,0.049270744934849564,0.004523380539626618,0.00451228522388407,1957469
3tross1,0.003964862343753369,0.04149308570055617,0.00518453328530246,0.0047210504291817935,357072
44bojan,0.0018266025466724012,0.006684989261251964,0.00010173642344497001,9.25814438248675e-05,70968
_alvo_,0.0038001504775824232,0.030740175660795104,0.002373989131675053,0.0022423404563853017,70884
_dfavors15,0.0020014728393351914,0.007162745564186609,0.00013885401514065497,0.0001272709032121799,76589
_tonyparker09,0.004144933996538452,0.013687310417980793,0.0014762127917770903,0.0014259856190889412,426558
abrooksart,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,86067
acfresh21,0.0028626615483947227,0.016847801727483774,0.0028301132182400545,0.0025657186310948524,106350
adreian_payne,0.0018280617783536625,0.004831838930441818,0.0008475953031978225,0.000832715630155895,68893
ageefla,0.0030824938085032196,0.031599203110216294,0.001814935251340116,0.001701640708918021,24142
ajincaalexis,0.0020917267990555933,0.011063445535236811,0.001445205538740249,0.001314860719703182,27349
alantwilliams,0.0025044753453147333,0.021303673421569445,0.001184249082423468,0.0007893128403614785,35108
aldridge_121,0.004723121635329846,0.025477776061246835,0.005958047519704978,0.005722250599301708,373255
alecpeters25,0.0013591376506392997,0.0058574728198330745,0.00026112245790983264,0.00027546843564394774,5925
alexabrines,0.002952798738428868,0.026620803000554503,0.0015845396640963468,0.0013475319802307947,152101
alexlen_21,0.0028996553823820302,0.022614890892573587,0.004947693136836107,0.004434542422827723,40717
alexthegreat22,0.003104100824136578,0.02472006864915417,0.0033986959735836657,0.003025084782402035,124746
alhorford,0.005892875387804255,0.054159432162886566,0.006338869149731797,0.006083743156601109,517119
alizejohnson24,0.002410294393850135,0.01030362112842043,0.0017817775143327218,0.0015036760618790158,36898
allencrabbe,0.0021187691578926932,0.01868527062084608,0.00038539955709822684,0.0003203958397631686,74238
amilejefferson,0.002385344174981808,0.015478188053156414,0.0008703425728687422,0.0008025970861544977,86765
andersonvarejao18,0.0029022386417887195,0.02572244279602399,0.0015368833098606785,0.001299575760599318,332777
andre,0.0061726304742474505,0.08280992750945293,0.000987511851064432,0.0009331958344773024,1742061
andredrummondd,0.005325232773266461,0.06667909749051172,0.004900167653209414,0.004984246928801498,1116403
andrewbogut,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,
angeldelgado,0.0015185088091654105,0.005145893750397198,0.00020470718791376912,0.0001440662649494679,91206
antdavis23,0.011204898523488318,0.1560713959624417,0.01881625476118413,0.020628770755384506,3374355
antezizic,0.0028427563314567784,0.023305215367127985,0.0021125768998218426,0.0018584019367191718,60610
antsimons,0.001985362139715207,0.01006515144135295,0.0013287140984009364,0.0013209590624977388,92378
atolliver44,0.004222535766118951,0.03418593942244981,0.008033032595961671,0.00761236773179306,35129
austinjrivers,0.004583912263872967,0.05628611700276142,0.0016504366655604084,0.00162149208984214,334882
b_mclemore23,0.005220436633752075,0.06647606561925289,0.0029239910962731994,0.002862532707659205,322274
balapat,0.0075457565773129785,0.014282094394232862,0.00656361381782045,0.006418751438726244,346954
bam1of1,0.004633044939851703,0.053623414313825384,0.003867856246098939,0.0038277121054947484,204059
benoudrih19,0.0033215183818639917,0.027671648994736762,0.00647529324545892,0.0059261784991807166,34840
bensimmons,0.007100202947788234,0.08170649377180746,0.0029455131664174426,0.003066284571396026,4204003
bismackbiyombo,0.0042280447769093175,0.021629858375596937,0.010502802887774828,0.00987924728696914,111809
bjohnson_23,0.002260569669909376,0.020264081767873015,0.0002514887488559264,0.00021159898278363736,98769
blakegriffin23,0.00782328467350967,0.09282437839416566,0.008444806168935908,0.008742335988662853,3601062
blakeney96,0.0043297321260474236,0.048601326918595006,0.00221783625427117,0.0020882504202620164,204353
blroberts22,0.0018008801165647417,0.016416007622559757,0.0005579045854115316,0.0004492927685424128,17504
boban,0.0048309408262607635,0.031066621788790674,0.009582214513207867,0.009463201164349884,411090
bogdanbogdanovic,0.003501246101391983,0.031376769895610744,0.006270888571469527,0.0058577342536955375,529769
boogiecousins,0.013344205573736835,0.17294722477518146,0.017599797937478172,0.01821817772191077,2955686
bpaul,0.0019203441547073334,0.006994257622612319,0.00045004951406719013,0.00038538276300858164,34587
bportistime,0.002378968042329833,0.020511010148851483,0.000844571575208661,0.0006457076849910467,108967
bradbeal3,0.008418746702323418,0.11688612152619414,0.009071458695340682,0.00955683886406401,933715
brandonknight,0.004742866558492709,0.055713755467226074,0.0072216016646598205,0.006756067736116154,157457
brucebrown11,0.002147407567658487,0.01105366012294594,0.0006151700857824208,0.000514690954981598,26205
brunofive,0.0031753050679950595,0.019254598883107456,0.009952909541389004,0.008853938270561645,78851
brush_4,0.003206566778250693,0.02495861632052799,0.0038486869860261284,0.0036226073021234494,149712
caldwellpope,0.0034839856880449337,0.036215041005518596,0.0006155286738796154,0.0006068017174202308,207860
cantguard21,0.0015851470815473297,0.008862860165349741,0.00039817450277602063,0.0002633914480714326,18167
carmeloanthony,0.012015637003049045,0.16331412102840293,0.0049475353507521524,0.0052525610636269034,6460464
ccapela15,0.002591689117166782,0.019582818715834324,0.0009095656872068723,0.000802337261517331,274132
cediosman,0.003957110640319447,0.04495961648413799,0.002770872294542366,0.0026279676383693675,578029
channingfrye,0.005744211557514792,0.06456779118621711,0.00322759326506832,0.0032417162271100235,312932
chiefhasarrived,0.002457434050455663,0.02109302812427179,0.0013156215850171694,0.0009378623101649556,80163
chrisbosh,0.004810977695452062,0.0584078056275198,0.0015537070324423512,0.0015398082383255754,2165662
courtneylee,0.003746904122919418,0.027266567518957587,0.006995443886777632,0.006635343860278327,157878
cp3,0.014806769134134425,0.18119797065259727,0.025808025610398282,0.028118110010669172,8950775
daanteee,0.004500552530010923,0.022507295657697365,0.004952729286867291,0.00479124789308042,160493
dakarijohnson,0.003517939435958303,0.03589170399423948,0.0036450842990144137,0.003315035316401835,86356
damianlillard,0.010451291050695907,0.1368030099385441,0.013304126173314888,0.014621794563134395,5740499
danilogallogallinari,0.002586722971286825,0.016856009268060315,0.001217486426650612,0.0010935480703022189,335446
dbook,0.008787751193726254,0.11627267621532715,0.008541245240004046,0.00875014145214055,2425134
deandre,0.010558786246925484,0.12581726636014928,0.011129362654425504,0.012035053344953072,2141983
deandreayton,0.003181330937739672,0.03244739367374318,0.0003072076877817898,0.0003029452973242804,374559
demar_derozan,0.009292881776086392,0.12636587292889387,0.005140283399629029,0.005752921049725517,2444841
devinharris34,0.002417096360948228,0.014990593984361264,0.00019430763537172939,0.0001893686157710308,33562
diawboris,0.0064667491728501655,0.015192421516018146,0.002227828560126549,0.002115705284777698,257814
dlee042,0.004429664198658686,0.037616470514819866,0.002845383033552695,0.0026930346428990248,454177
dloading,0.008436726971109077,0.10354541527128526,0.014198053694197679,0.014800637292411439,2904959
dreadheadjizzle,0.0020485144262863066,0.015485867997674938,0.00014470281924973025,0.00013646911473712834,100407
drewroc5,0.0031321076221505805,0.028338996860177053,0.0023492656605633645,0.0020793069073033006,173611
ds17_fg,0.004790362665721965,0.04081074148344386,0.0019158983705786612,0.0018640037793945226,1406631
dubblea74,0.0028423388665111274,0.03528494646198332,2.1412409823905783e-05,2.3111465059605646e-05,5401
dulenader2,0.0028668478387279452,0.0253784519287545,0.001840687123966241,0.0015232710220534583,51928
dwighthoward,0.005753510442241259,0.06415356727570631,0.0018624689451988772,0.0019202855369128162,1999951
dwill8,0.005252476441874204,0.061833771492375206,0.004266918901181183,0.004558642149025495,313531
dwyanewade,0.018711088160107366,0.22096383961896351,0.04061141608099729,0.04298551275883246,13551543
easymoneysniper,0.014976059190833182,0.17511521503406066,0.02431584094190436,0.025294626839307856,10463290
ekpeudoh,0.003974433825091031,0.034863824506107546,0.004721296677700005,0.004535937682136469,161483
eneskanter11,0.00260290194359731,0.015049670493733333,0.0,0.0,357341
fchwpo,0.006919187206779129,0.08757063506951471,0.004650821853249286,0.004574919311785177,985931
flydre21,0.0032639611111142303,0.03114472433519277,0.002821869289127674,0.002473648046654052,168075
g.green14,0.006892648777425903,0.08409708853272087,0.004723297831550993,0.004618347108423655,627775
giannis_an34,0.004614153091075255,0.03802035107396354,0.002239331711372363,0.0021053743806610276,4706756
gmb_chum12,0.004783694964797552,0.06508302115229335,0.001445171435605277,0.0013486673076147288,615972
gordonhayward,0.0030883575724639555,0.02825948350212326,0.00013959842290912048,0.0001651828713704986,1526807
graysonjallen,0.002443333844827636,0.020141774067555074,0.000821474315879172,0.0006625171244044677,470248
hbarnes,0.007073773114457268,0.06937388378953716,0.011707702692771185,0.011385997024329221,1144013
houseobayne,0.0036917308661527344,0.02167865648112321,0.0034511692359447646,0.0031870550480038212,144111
iamamirjohnson,0.005840643076478451,0.06899150374255641,0.004261441647850786,0.004093454053333109,201614
iammontaellis,0.0021054344412822406,0.023253277499643968,0.0007188397889926099,0.0006456638992836801,118603
iclark21,0.00422015453552253,0.04320341071401558,0.0034061959392914765,0.0032170516732611064,195203
imanshumpert,0.010037212365907973,0.14424305517740452,0.007622520209281382,0.007782975414300832,1840294
imfelicio,0.002453967529819264,0.017537581142374845,0.0013131370044937205,0.0011558416647834673,75826
isaiahthomas,0.012982841152022034,0.1572797156451907,0.018419419840549785,0.018924459334190256,3668761
iso_zo,0.005397584829886928,0.059654430907255,0.00456273418963956,0.004513954592688046,217222
jah8,0.0062729883326170955,0.06578370504418958,0.01075659417662277,0.010621147267087287,581321
jakob,0.0028255478968419357,0.012945244299665317,0.0019129399717692703,0.001659689391431645,70761
jaren,0.0029706175747100426,0.02236657211225488,0.006920612301207255,0.006217030832837186,106100
jaytatum0,0.010097043772075362,0.12344064525125009,0.011025023873237267,0.011465246443027956,2368327
jcrossover.11,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,16987
jeffteague,0.0037102495484167873,0.026053445221898973,0.002068652416937191,0.0017868450692615013,126299
jharden13,0.013198964217052916,0.17107291839543737,0.007023812526902165,0.007618487196576676,9825332
jhart,0.005322751016348076,0.05013610378193108,0.0018220739543579542,0.001760026997874098,643095
jimmybutler,0.009853330931474082,0.1219791509491919,0.006377220674547609,0.0064839325992185745,4114807
jjbarea11,0.0034432161432754733,0.02392362074272482,0.0016710928412364404,0.0017453402190290095,365615
jlin7,0.0034958748612629134,0.034629570731832364,0.0013690183624177762,0.0012098838175195312,1713442
jmcalderon8,0.003932499561242943,0.0381817951768854,0.004268633749524733,0.004016949215757942,97600
joeingles7,0.005010657440859955,0.028483999535227462,0.008072977988814282,0.007895411059316421,165785
joelembiid,0.008910620077514086,0.10019944930910192,0.008884662065609329,0.009306201312467583,3536844
johnwall,0.014994748426919571,0.1880157140921359,0.02038870593730281,0.02130104844719796,4263976
jrue_holiday11,0.005710605260001027,0.07555306767640073,0.012381229427075795,0.011922962989389116,200340
juliusrandle30,0.005920475594245726,0.07247821062717827,0.005543055167687804,0.00540030830366066,752563
karltowns,0.006457358138507793,0.06617531565318008,0.009475058250799086,0.00935037476931241,2382647
kennethfaried35,0.00541095369625641,0.06009279654987601,0.008372535789174016,0.008047547065641276,
kevinlove,0.009957262725185103,0.13445130748873765,0.008680377330801636,0.009235475544350003,2931378
kingjames,0.017980533640850494,0.1986026016880486,0.015954225414028307,0.017271774229241314,48967103
kkorv26,0.005298882918061661,0.04688321069250236,0.009769488691976821,0.00952831026581762,727898
klaythompson,0.0072592187439723425,0.07785260086198251,0.004676803311678497,0.0045037694750637855,6180385
kostas__ante13,0.002484340356123116,0.012391065715242002,0.0025926499071192923,0.0024613927703251194,357299
kporzee,0.0038072366365856413,0.03163107099152069,0.0021322266482474714,0.001942513280614962,1641028
kuz,0.009534665248661811,0.10863217959449238,0.009447853725005666,0.01005966096877642,3015356
kw15,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,13
kyle_lowry7,0.0070028312636519745,0.10573119272808795,0.003687536757249075,0.0036905380524227924,1193965
kyrieirving,0.014608610186179235,0.1876556472240655,0.019176002700459195,0.020028586729227672,12631520
leafsquad,0.0034112674844793234,0.02473683689595613,0.003805812497723772,0.0034690303781712483,107293
louwillville,0.009233732287210627,0.1119769534407699,0.00820848182995861,0.00831102130389316,799501
lucmbahamoute,0.0029689175081276708,0.033254125435563095,0.0025883859297302614,0.0022301712116175976,57402
lukadoncic,0.00926849732825712,0.08873418691955254,0.01913465814017667,0.019842188640407477,2677113
mac11,0.004107640341168467,0.052429519995526176,0.0019412753179303178,0.0018531596961367017,453766
manuginobili,0.005225837609705658,0.020966676388646466,0.0003472702554988497,0.00031136211294111266,1106646
marcgasol,0.005382962380787847,0.04076016530025994,0.019960074079201424,0.018786218099969373,317055
markellefultz,0.006674905204031589,0.07515835567431371,0.0,0.0,2128744
matthewdelly,0.005640358918092368,0.04497532483701161,0.00686760080728886,0.00661354517546712,445027
megalodon20,0.002658168544898887,0.016344713929825744,0.001148079731670284,0.0009386972847996597,131019
mettaworldpeace37,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,14408
mgortat13,0.0023345062242319694,0.011801935236155187,0.00041200964922697976,0.00035136715963509827,158977
milesplumlee,0.0029702962467966078,0.01768037550936933,0.0032689305853446553,0.0029106394594297824,49733
mkg14,0.003006780941562439,0.037374819080926054,0.0,0.0,201340
mr_carter5,0.004144562307823313,0.027769299318241677,0.00981823808308235,0.008930397814351673,338010
nicbatum88,0.003055167765740971,0.014234231351399609,0.0015022301215375984,0.0013833999771647684,219664
nicholaf44,0.001675254317774973,0.006573793495853382,3.198800637130808e-05,3.0166031039796332e-05,12683
officialeg10,0.0035995369342444535,0.030614747951544032,0.0028317938022055914,0.002520197817160778,294727
officialzhouqi,0.0014548559063395367,0.008570356993472757,2.3883038804549934e-05,2.2989314518085736e-05,68223
omricasspi18,0.0038645664778285474,0.038460936783634735,0.001179403369452216,0.0010507728102057577,289423
ottodayporter22,0.0037910159406031583,0.025785083672723242,0.003696124536310766,0.00328848130645895,85479
paugasol,0.005821977762511645,0.03986396463402537,0.002895986458219462,0.002732549411685707,1346316
rajonrondo,0.004811244634421753,0.05714709159013674,0.0003002330142203229,0.00030009818929404073,1147603
realdwest30,0.0020640778559116615,0.022383231126357605,0.0001449791686166162,0.0001406481688557626,13226
realtristan13,0.006691800343876763,0.09057592781994997,0.004199464716092195,0.0042080949511562465,3080259
reggie_jackson,0.00332734303523175,0.032498784250633746,0.0030096174593624275,0.002733528545745695,139639
rekehavoc1,0.004062892315125152,0.04007658377510464,0.0035684482398898798,0.0031354006965078856,140991
rudygobert27,0.003301360133223088,0.010724162576012051,0.003535433610836989,0.0031093008780243864,310767
russwest44,0.015845239591533264,0.18743701072793736,0.0257645097547169,0.027448396347368082,13061059
ruuufio,0.006460588707609297,0.047184528008547694,0.010890432345639117,0.010638092014462126,516941
sdot1414,0.004945041934103618,0.04668508498113983,0.0016131456692257938,0.0015023307704590827,653113
sergeibaka,0.0052687389891939666,0.04760391598927841,0.0008287901249886145,0.0008213239822566975,749718
sir_deuce2,0.007849432991251744,0.07893509937826476,0.016347713285914774,0.01609586119307632,58075
stephencurry30,0.012323208790163269,0.14164595354776924,0.02191343002143531,0.022557741939284677,25095709
stephensonlance,0.009539525106436972,0.10512947831949739,0.0203794900645514,0.020240822228652703,1802296
stevenadams,0.004310550223994783,0.028787222198539967,0.0038789559549977236,0.0037171872005777947,410926
supermariohezonja,0.0021570895848768428,0.01600332494893125,0.0,0.0,81875
swaggyp1,0.00980477899521746,0.1132998935971256,0.014083478708652328,0.014403487756111607,3405042
swipathefox,0.0071121706247388216,0.08633360983300023,0.00826637082487236,0.008378096384062325,1262735
swish41,0.003995060544928368,0.02976606336656104,0.0014193284341715564,0.0012903467668588706,844658
teamswish,0.01198489725082703,0.15753228277876757,0.013658077188768785,0.014336546999148998,4292788
thats_g_,0.002921201206236729,0.02366140933542993,0.0018228891547461435,0.0016654397332314312,136028
the_1_dragon,0.002431041088501657,0.021772602137152448,0.000531074281666574,0.0004452842121766474,332460
the_4th_holiday,0.00289152483455834,0.02017459447995776,0.0012922369257664787,0.0010083939922082184,61600
thebledshow,0.008775177511693866,0.09988804754682257,0.014211801477437537,0.014920434055134045,591529
thonmaker,0.00341779062384019,0.017356801141761836,0.0029637564313703527,0.0026827324834381703,170847
timmyjr10,0.005410173505968684,0.06464692489226484,0.006018135367793228,0.005950525046235117,468113
tobiasharris,0.006155526449891584,0.05840911888268858,0.01052255506241042,0.01032305404965211,351731
traeyoung,0.006131962806857662,0.08395469804773276,0.0006283696285381082,0.0007168437594412168,1432862
twoshotonee,0.0036300831597862156,0.03551738885760852,0.00445548406435125,0.004162698005755227,46918
tysonchandler,0.005857374853638524,0.06496860520506081,0.00212924552807499,0.002102928508390702,320778
vevey1800,0.004167526954218085,0.02566944570553778,0.007552159673453432,0.006923095186809655,28444
vicoladipo,0.008588909701451413,0.07506434213048123,0.01935066009202071,0.019966007515193288,1368203
wessywes23,0.005201060610867033,0.04928205657666324,0.005116725064983832,0.004817207076904384,176058
ygtrece,0.01440534062336386,0.18546248915530866,0.024001122648716736,0.025818027470518805,7754547
youngheirgordon,0.003961651289463204,0.03927905505481721,0.0052187175139708376,0.004917130596473457,999944
zachlavine8,0.004835907872905076,0.05099819471222543,0.003445703587336336,0.0031860862725936285,1870136
zo,0.006781836590698335,0.07137510846193651,0.0034787558305792764,0.003537755410196127,6423660
